,bookId,title,price,author,a_id
0,2767052-the-hunger-games,The Hunger Games,386.84,Suzanne Collins,7541
1,2.Harry_Potter_and_the_Order_of_the_Phoenix,Harry Potter and the Order of the Phoenix,560.88,"J.K. Rowling, Mary GrandPré (Illustrator)",7476
2,2657.To_Kill_a_Mockingbird,To Kill a Mockingbird,529.42,Harper Lee,5624
3,1885.Pride_and_Prejudice,Pride and Prejudice,529.42,"Jane Austen, Anna Quindlen (Introduction)",5858
4,41865.Twilight,Twilight,159.6,Stephenie Meyer,6201
5,19063.The_Book_Thief,The Book Thief,288.8,Markus Zusak (Goodreads Author),6241
6,170448.Animal_Farm,Animal Farm,335.92,"George Orwell, Russell Baker (Preface), C.M. Woodhouse (Introduction)",6570
7,11127.The_Chronicles_of_Narnia,The Chronicles of Narnia,529.42,"C.S. Lewis, Pauline Baynes (Illustrator)",7562
8,30.J_R_R_Tolkien_4_Book_Boxed_Set,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,1607.4,J.R.R. Tolkien,5856
9,18405.Gone_with_the_Wind,Gone with the Wind,424.08,Margaret Mitchell,8820
10,11870085-the-fault-in-our-stars,The Fault in Our Stars,529.42,John Green (Goodreads Author),7823
11,386162.The_Hitchhiker_s_Guide_to_the_Galaxy,The Hitchhiker's Guide to the Galaxy,529.42,Douglas Adams,6002
12,370493.The_Giving_Tree,The Giving Tree,370.12,Shel Silverstein,8249
13,6185.Wuthering_Heights,Wuthering Heights,207.48,"Emily Brontë, Richard J. Dunn (Editor), David Timson (Narrator), Charlotte Brontë (Commentary), Robert Heindel (Illustrator)",3381
14,968.The_Da_Vinci_Code,The Da Vinci Code,529.42,Dan Brown (Goodreads Author),5193
15,929.Memoirs_of_a_Geisha,Memoirs of a Geisha,209.76,Arthur Golden,5639
16,5297.The_Picture_of_Dorian_Gray,The Picture of Dorian Gray,529.42,"Oscar Wilde, Jeffrey Eugenides (Introduction)",4347
17,24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,Alice's Adventures in Wonderland & Through the Looking-Glass,233.32,"Lewis Carroll, John Tenniel (Illustrator), Martin Gardner (Introduction)",3555
18,10210.Jane_Eyre,Jane Eyre,414.96,"Charlotte Brontë, Michael Mason (Editor), Barnett Freedman (Illustrator)",7185
19,24280.Les_Mis_rables,Les Misérables,529.42,"Victor Hugo, Lee Fahnestock (Translator), Norman MacAfee (Translator)",4606
20,13079982-fahrenheit-451,Fahrenheit 451,529.42,Ray Bradbury,5116
21,13335037-divergent,Divergent,66.88,Veronica Roth (Goodreads Author),8523
22,7624.Lord_of_the_Flies,Lord of the Flies,143.64,William Golding,5475
23,18135.Romeo_and_Juliet,Romeo and Juliet,516.04,"William Shakespeare, Paul Werstine (Editor), Barbara A. Mowat (Editor), Paavo Emil Cajander (Translator)",7464
24,18144590-the-alchemist,The Alchemist,1004.72,"Paulo Coelho (Goodreads Author), Alan R. Clarke (Translator), James Noel Smith (Illustrator)",5880
25,7144.Crime_and_Punishment,Crime and Punishment,1432.6,"Fyodor Dostoyevsky, David McDuff (Translator)",4667
26,22628.The_Perks_of_Being_a_Wallflower,The Perks of Being a Wallflower,529.42,Stephen Chbosky,8459
27,4671.The_Great_Gatsby,The Great Gatsby,529.42,"F. Scott Fitzgerald, Francis Scott Fitzgerald",5234
28,256683.City_of_Bones,City of Bones,478.04,Cassandra Clare (Goodreads Author),8310
29,375802.Ender_s_Game,Ender's Game,349.6,"Orson Scott Card, Stefan Rudnicki (Narrator), Harlan Ellison (Narrator)",5334
30,4667024-the-help,The Help,529.42,Kathryn Stockett (Goodreads Author),3745
31,8127.Anne_of_Green_Gables,Anne of Green Gables,461.32,L.M. Montgomery,5188
32,3.Harry_Potter_and_the_Sorcerer_s_Stone,Harry Potter and the Sorcerer's Stone,529.42,"J.K. Rowling, Mary GrandPré (Illustrator)",7476
33,157993.The_Little_Prince,The Little Prince,529.42,"Antoine de Saint-Exupéry, Richard Howard (Translator), Ivan Minatti (Translator), Nguyễn Thành Vũ (Illustrator)",6504
34,24178.Charlotte_s_Web,Charlotte's Web,467.4,"E.B. White, Garth Williams (Illustrator), Rosemary Wells (Illustrations)",6547
35,890.Of_Mice_and_Men,Of Mice and Men,437.0,John Steinbeck,5496
36,18619684-the-time-traveler-s-wife,The Time Traveler's Wife,529.42,Audrey Niffenegger (Goodreads Author),7681
37,17245.Dracula,Dracula,345.8,"Bram Stoker, Nina Auerbach (Editor), David J. Skal (Editor)",8387
38,5129.Brave_New_World,Brave New World,287.28,Aldous Huxley,5063
39,320.One_Hundred_Years_of_Solitude,One Hundred Years of Solitude,529.42,"Gabriel García Márquez, Gregory Rabassa (Translator)",3943
40,5107.The_Catcher_in_the_Rye,The Catcher in the Rye,197.6,J.D. Salinger,5041
41,21787.The_Princess_Bride,The Princess Bride,473.48,William Goldman,3244
42,28187.The_Lightning_Thief,The Lightning Thief,136.04,Rick Riordan (Goodreads Author),3190
43,2998.The_Secret_Garden,The Secret Garden,253.08,Frances Hodgson Burnett,8843
44,128029.A_Thousand_Splendid_Suns,A Thousand Splendid Suns,88.16,Khaled Hosseini (Goodreads Author),6629
45,33574273-a-wrinkle-in-time,A Wrinkle in Time,364.8,Madeleine L'Engle,6567
46,13496.A_Game_of_Thrones,A Game of Thrones,304.76,George R.R. Martin,3974
47,2956.The_Adventures_of_Huckleberry_Finn,The Adventures of Huckleberry Finn,531.24,"Mark Twain, Guy Cardwell (Notes), John Seelye (Introduction), Walter Trier (Ilustrator)",5134
48,12232938-the-lovely-bones,The Lovely Bones,145.16,Alice Sebold,7402
49,231804.The_Outsiders,The Outsiders,529.42,S.E. Hinton (Goodreads Author),3988
50,19543.Where_the_Wild_Things_Are,Where the Wild Things Are,278.92,Maurice Sendak,8190
51,23772.Green_Eggs_and_Ham,Green Eggs and Ham,226.48,Dr. Seuss,3569
52,1381.The_Odyssey,The Odyssey,277.4,"Homer, Robert Fagles (Translator), Bernard Knox (Introduction)",8262
53,4214.Life_of_Pi,Life of Pi,217.36,Yann Martel,8603
54,1953.A_Tale_of_Two_Cities,A Tale of Two Cities,85.12,"Charles Dickens, Richard Maxwell (Editor/Introduction)",6615
55,43641.Water_for_Elephants,Water for Elephants,262.96,Sara Gruen (Goodreads Author),5765
56,7604.Lolita,Lolita,529.42,"Vladimir Nabokov, Craig Raine (Afterword)",8855
57,4981.Slaughterhouse_Five,Slaughterhouse-Five,646.0,Kurt Vonnegut Jr.,7435
58,35031085-frankenstein,Frankenstein: The 1818 Text,665.0,"Mary Wollstonecraft Shelley, Charlotte Gordon (Goodreads Author) (Introduction)",4589
59,77203.The_Kite_Runner,The Kite Runner,529.42,"Khaled Hosseini (Goodreads Author), Berliani M. Nugrahani (Translator)",7653
